Caminho Original,É da Rádio?,Programa Identificado,Destino Proposto
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B1- TJRN NOTIFICAÇÃO DEVEDOR LEGITIMA.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B9- INDENIZAÇÃO DEMORA CONSERTO VEÍCULO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B10- POSSE TERRENO USUCAPIÃO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B8- PALESTRA SAÚDE FEMININA.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\desktop.ini,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\2026 (1)\02 - FEV - 26\desktop.ini,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B10- ESMARN NOVO SITE.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B7 - ABERTURA ESTÁGIO CURRAIS NOVOS.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B2 - IMPROBIDADE CONTRATO IGREJA.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B6 - ABERTURA ESTÁGIO 20 NATAL.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B8- MPRN OPERAÇÃO CENTRO TERAPÊUTICO .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B5 - PERFIL DE VENDAS DEVE SER REATIVADO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B4 - JUSTIÇA REABRE PREGÃO ELETRÔNICO NATAL.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B9- TRT RN TRIBUNAIS CONVÊNIO .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B3 - JÚRI HOMICÍDIO TRÂNSITO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\B1 - HOMICÍDIO DÍVIDA JÚRI.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\02 - FEV - 26\27 02 - SEX\desktop.ini,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\2026 (1)\02 - FEV - 26\11 02\BOLETIM_RADIO_TJRN_11_02_2026_B8_MPRN_CRIACAO_PROTOCOLO_UNIDADES_SOCIOEDUCATIVAS.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\02 - FEV - 26\11 02\BOLETIM_RADIO_TJRN_11_02_2026_B1_TJRN_REFORMA_SENTENCA_PLATAFORMA.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
